"config";"(64,1,3)";"(64,1,4)";"(64,1,5)";"(64,1,6)";"(64,3,3)";"(64,3,4)";"(64,3,5)";"(64,3,6)";"(128,1,3)";"(128,1,4)";"(128,1,5)";"(128,1,6)";"(128,3,3)";"(128,3,4)";"(128,3,5)";"(128,3,6)";"(256,1,3)";"(256,1,4)";"(256,1,5)";"(256,1,6)";"(256,3,3)";"(256,3,4)";"(256,3,5)";"(256,3,6)"
"Base";21009806;22927357;24845930;26897060;24461838;26292623;28248278;30226402;17473437;19219252;21218168;23088256;20635968;22573355;24462378;26495290;15547366;17475288;19771615;22170920;19219167;21666448;24035720;26424873
"Unroll(7)";17473420;18439918;19570455;20751740;19447835;20618062;21816452;22907092;14522182;15271707;16024732;17223535;15899913;17112310;18342388;19219245;13313511;14100606;15081123;16076573;14754906;15727031;17168407;18518600
