0,0,2
0,1,5
0,2,0

1,0,2
1,1,5
1,2,0

2,0,2
2,1,5
2,2,0

3,0,2
3,1,5
3,2,0

4,0,2
4,1,5
4,2,0

5,0,2
5,1,5
5,2,0

6,0,2
6,1,5
6,2,0

7,0,2
7,1,5
7,2,0

8,0,2
8,1,5
8,2,0

9,0,2
9,1,5
9,2,0

10,0,2
10,1,5
10,2,0

11,0,2
11,1,5
11,2,0

12,0,2
12,1,5
12,2,0

13,0,2
13,1,5
13,2,0

14,0,2
14,1,5
14,2,0

15,0,2
15,1,5
15,2,0

16,0,2
16,1,5
16,2,0

17,0,2
17,1,5
17,2,0

18,0,2
18,1,5
18,2,0

19,0,2
19,1,5
19,2,0

20,0,2
20,1,5
20,2,0

21,0,2
21,1,5
21,2,0

22,0,2
22,1,5
22,2,0

23,0,2
23,1,5
23,2,0

24,0,2
24,1,5
24,2,0

25,0,1
25,1,2
25,2,0

26,0,1
26,1,2
26,2,0

27,0,1
27,1,2
27,2,0

28,0,1
28,1,2
28,2,0

29,0,1
29,1,2
29,2,0

30,0,1
30,1,2
30,2,0

31,0,1
31,1,2
31,2,0

32,0,1
32,1,2
32,2,0

33,0,1
33,1,2
33,2,0

34,0,1
34,1,2
34,2,0

35,0,1
35,1,2
35,2,0

36,0,1
36,1,2
36,2,0

37,0,1
37,1,2
37,2,0

38,0,1
38,1,2
38,2,0

39,0,1
39,1,2
39,2,0

40,0,1
40,1,2
40,2,0

41,0,1
41,1,2
41,2,0

42,0,1
42,1,2
42,2,0

43,0,1
43,1,2
43,2,0

44,0,1
44,1,2
44,2,0

45,0,1
45,1,2
45,2,0

46,0,1
46,1,2
46,2,0

47,0,1
47,1,2
47,2,0

48,0,1
48,1,2
48,2,0

49,0,1
49,1,2
49,2,0

50,0,4
50,1,2
50,2,0

51,0,4
51,1,2
51,2,0

52,0,4
52,1,2
52,2,0

53,0,4
53,1,2
53,2,0

54,0,4
54,1,2
54,2,0

55,0,4
55,1,2
55,2,0

56,0,4
56,1,3
56,2,0

57,0,4
57,1,3
57,2,0

58,0,4
58,1,3
58,2,0

59,0,4
59,1,3
59,2,0

60,0,4
60,1,3
60,2,0

61,0,4
61,1,3
61,2,0

62,0,4
62,1,3
62,2,0

63,0,4
63,1,3
63,2,0

64,0,4
64,1,3
64,2,0

65,0,4
65,1,3
65,2,0

66,0,4
66,1,3
66,2,0

67,0,4
67,1,3
67,2,0

68,0,4
68,1,3
68,2,0

69,0,4
69,1,3
69,2,0

