CNN maxpool ;368726;373469;746877;499764;543363;8.7;533841;565405;5.9
FFT;216062;192880;379584;315167;327966;4.1;242970;282090;16.1
KFusion depth2vertex ;350894;307462;503712;368126;417001;13.2;330741;377601;14.1
KFusion halfSample... ;102770;119902;222852;131463;176890;34.5;128090;155800;21.6
KFusion vertex2normal ;522664;555830;1111230;762549;862701;13.1;751659;826301;9.9
SPMV;1438668;1458574;1546186;1461661;1492070;2.1;1438766;1459116;1.4
SRAD reduce ;286514;281544;552850;347266;443790;27.8;408329;501904;22.9
Stencil ;970810;1160046;1286606;970810;1171324;20.1;970810;1171324;20.1
